"",Всего,,,,,,,из них,по видам эк,ономической
"",,"сельское,",добыча,обрабаты-,обеспечение,водоснаб-,строитель-,торговля,транспорти-,деятель-
"",,лесное,полезных,вающие,электриче-,жение;,ство,оптовая и,ровка и,ность гости-
"",,"хозяйство,",ископаемых,производ-,ской энерги-,водоотведе-,,розничная;,хранение,ниц и пред-
"",,"охота,",,ства,"ей, газом и","ние, органи-",,ремонт,,приятий
"",,рыболов-,,,паром;,зация сбора,,автотранс-,,обществен-
"",,ство и,,,кондицио-,и утилиза-,,портных,,ного пита-
"",,рыбовод-,,,нирование,"ции отходв,",,средств и,,ния
"",,ство,,,воздуха,деятель-,,мотоциклов,,
"",,,,,,ность,,,,
"",,,,,,по ликвида-,,,,
"",,,,,,ции загряз-,,,,
"",,,,,,нений,,,,
Российская Федерация,"164 606,5","3 181,7","15 237,1","45 112,3","10 207,8","1 091,0","4 828,0","59 716,6","11 124,7","586,3"
Центральный,,,,,,,,,,
федеральный округ,"79 462,0","1 129,0","1 250,6","18 472,0","4 784,4","437,2","2 369,9","35 888,4","5 514,4","354,5"
Белгородская область,"1 555,1","208,0","265,9","551,9","65,8","9,2","43,0","384,8","9,7","1,8"
Брянская область,"486,8","76,3",...2),"168,7","23,1","6,7","6,7","95,1","45,1","0,3"
Владимирская область,"775,6","13,5","1,8","482,6","54,5","4,4","1,7","175,5","18,5","0,9"
Воронежская область,"1 281,4","132,4","8,1","394,8","112,2","9,2","46,9","459,9","25,6","0,2"
Ивановская область,"186,5","2,6",...2),"105,9","22,6","3,1","11,3","32,4","0,7","0,3"
Калужская область,"1 295,7","25,1","1,5","961,9","46,8","5,4","35,4","168,6","14,2","0,3"
Костромская область,"179,8","7,0",...2),"104,4","30,2","2,2","7,6","23,2","1,0",...2)
Курская область,"623,9","135,3",...2),"168,0","52,9","7,3","16,8","123,2","4,6","1,6"
Липецкая область,"1 060,3","158,6","4,2","684,5","48,5","6,8","14,4","106,2","6,0",...2)
Московская область,"12 884,1","56,1","7,8","3 133,6","663,3","75,4","308,0","7 369,2","462,9","26,4"
Орловская область,"288,9","60,1","0,2","97,8","21,3","4,9","4,7","96,2","2,0","0,1"
Рязанская область,"598,1","34,5","1,0","328,3","40,6","2,7","6,7","158,6","6,1","1,2"
Смоленская область,"441,1","7,2","1,1","172,2","14,7","9,1","9,6","194,6","24,9",...2)
Тамбовская область,"439,5","112,2",...2),"140,4","30,4","1,6","11,7","137,3","1,7","0,6"
Тверская область,"581,2","27,0",...2),"292,4","24,9","5,1","17,5","186,6","15,9","1,3"
Тульская область,"1 154,6","37,6","4,9","775,3","117,7","10,6","19,6","172,5","5,0","0,4"
Ярославская область,"724,7","23,3","0,6","342,3","94,0","7,1","8,0","169,6","48,6","2,1"
г. Москва,"54 904,6","12,2","846,0","9 567,2","3 321,0","266,5","1 800,1","25 834,9","4 821,9","316,7"
Северо-Западный,,,,,,,,,,
федеральный округ,"21 931,6","340,4","724,6","7 754,7","885,1","113,0","801,4","8 036,1","1 420,7","114,8"
Республика Карелия,"256,6","18,6","88,2","84,0","15,9","3,0","4,8","29,9","5,6","0,5"
Республика Коми,"856,1","5,5","312,2","185,9","50,8","3,2","10,7","16,1","256,7","2,2"
Архангельская область,"453,5","22,0","81,7","208,1","23,8","2,7","5,5","52,5","43,1","1,7"
в том числе:,,,,,,,,,,
Ненецкий автономный,,,,,,,,,,
округ,"70,1","1,6","51,9","0,8","1,9","0,1","0,6","1,0","8,5",...2)
Архангельская область,,,,,,,,,,
без автономного округа,"383,5","20,3","29,8","207,3","21,8","2,6","5,0","51,6","34,5","0,9"
Вологодская область,"1 217,8","26,2",...2),"876,6","65,4","8,8","68,9","135,5","16,5","0,4"
