Ленинградская область,32606.0,1351.0,175.0,3030.0,213.0,316.0,3300.0,5713.0,2060.0,843.0,607.0,274.0,6604.0,1865.0,1088.0,740.0,1090.0,740.0,813.0,1765.0
Мурманская область,14151.0,451.0,44.0,761.0,114.0,132.0,1276.0,3128.0,1143.0,576.0,339.0,206.0,1493.0,995.0,610.0,516.0,698.0,324.0,383.0,960.0
Новгородская область,11763.0,618.0,85.0,1128.0,87.0,119.0,1247.0,2298.0,527.0,364.0,270.0,212.0,1119.0,753.0,349.0,650.0,531.0,287.0,342.0,777.0
Псковская область,12050.0,770.0,49.0,1090.0,75.0,60.0,1252.0,2869.0,890.0,344.0,275.0,97.0,884.0,701.0,368.0,489.0,477.0,237.0,254.0,867.0
г. Санкт-Петербург,240385.0,846.0,303.0,19580.0,720.0,853.0,31640.0,70277.0,15492.0,7756.0,9682.0,3994.0,20508.0,24892.0,12167.0,1233.0,3950.0,4698.0,4286.0,7306.0
Южный федеральный округ,288329.0,10776.0,1203.0,19908.0,1513.0,2446.0,31045.0,70309.0,15296.0,10481.0,6708.0,4038.0,27232.0,22437.0,10461.0,9976.0,12721.0,8482.0,6490.0,16781.0
Республика Адыгея,6332.0,378.0,78.0,600.0,42.0,58.0,639.0,1212.0,247.0,167.0,127.0,109.0,398.0,397.0,280.0,349.0,401.0,222.0,176.0,447.0
Республика Калмыкия,3676.0,266.0,14.0,116.0,14.0,39.0,314.0,589.0,95.0,82.0,64.0,52.0,130.0,223.0,104.0,497.0,373.0,186.0,109.0,409.0
Республика Крым,31370.0,1382.0,250.0,1771.0,132.0,268.0,3111.0,5687.0,1113.0,1887.0,631.0,308.0,4718.0,2044.0,1008.0,1058.0,1372.0,1091.0,658.0,2879.0
Краснодарский край,111280.0,3703.0,402.0,7433.0,604.0,792.0,13815.0,28209.0,6481.0,4665.0,2569.0,1501.0,8829.0,9317.0,4363.0,3061.0,4338.0,3410.0,2648.0,5134.0
Астраханская область,13597.0,976.0,51.0,867.0,81.0,125.0,1271.0,2905.0,745.0,450.0,298.0,220.0,1298.0,930.0,509.0,613.0,642.0,426.0,271.0,917.0
Волгоградская область,35512.0,1351.0,85.0,2400.0,230.0,626.0,3186.0,7872.0,1734.0,847.0,809.0,551.0,3135.0,2903.0,1553.0,1779.0,1901.0,984.0,1025.0,2537.0
Ростовская область,75575.0,2526.0,307.0,6003.0,376.0,465.0,7360.0,21701.0,4493.0,1838.0,1943.0,1161.0,6736.0,5771.0,2228.0,2489.0,3419.0,1814.0,1349.0,3589.0
г. Севастополь,10987.0,194.0,16.0,718.0,34.0,73.0,1349.0,2134.0,388.0,545.0,267.0,136.0,1988.0,852.0,416.0,130.0,275.0,349.0,254.0,869.0
Северо-Кавказский федеральный округ,107000.0,8503.0,626.0,7423.0,669.0,809.0,12932.0,22260.0,3454.0,2097.0,2326.0,1611.0,6023.0,6020.0,3057.0,5768.0,8752.0,4189.0,2979.0,7491.0
Республика Дагестан,29818.0,3301.0,222.0,1623.0,183.0,195.0,4195.0,4910.0,921.0,444.0,680.0,414.0,1076.0,1303.0,717.0,1999.0,3214.0,1110.0,1021.0,2284.0
Республика Ингушетия,5256.0,200.0,29.0,510.0,18.0,54.0,1142.0,1300.0,113.0,39.0,110.0,87.0,89.0,204.0,161.0,232.0,345.0,194.0,162.0,267.0
Кабардино-Балкарская Республика,10015.0,979.0,62.0,948.0,63.0,139.0,950.0,2075.0,296.0,256.0,188.0,154.0,552.0,524.0,256.0,481.0,526.0,394.0,287.0,885.0
Карачаево-Черкесская Республика,6007.0,448.0,76.0,495.0,43.0,66.0,620.0,1095.0,200.0,163.0,106.0,85.0,282.0,318.0,182.0,389.0,479.0,200.0,102.0,658.0
Республика Северная Осетия – Алания,9014.0,751.0,73.0,780.0,93.0,79.0,894.0,1651.0,299.0,188.0,218.0,164.0,601.0,497.0,287.0,459.0,601.0,402.0,264.0,712.0
Чеченская Республика,9515.0,907.0,40.0,389.0,30.0,47.0,1556.0,2043.0,229.0,86.0,205.0,188.0,235.0,421.0,210.0,614.0,1301.0,356.0,246.0,410.0
Ставропольский край,37375.0,1917.0,124.0,2678.0,239.0,229.0,3575.0,9186.0,1396.0,921.0,819.0,519.0,3188.0,2753.0,1244.0,1594.0,2286.0,1533.0,897.0,2275.0
федеральный округ,634503.0,17608.0,2834.0,53334.0,4109.0,4712.0,76080.0,163640.0,37542.0,13525.0,15514.0,9313.0,55954.0,47187.0,22904.0,20375.0,27524.0,15441.0,12706.0,34098.0
Республика Башкортостан,77126.0,2480.0,568.0,6007.0,378.0,536.0,11664.0,19485.0,3396.0,1672.0,1612.0,1097.0,4891.0,5808.0,2779.0,2892.0,3781.0,1942.0,1273.0,4847.0
Республика Марий Эл,11148.0,368.0,36.0,1381.0,124.0,108.0,1009.0,2663.0,505.0,329.0,308.0,155.0,895.0,626.0,294.0,470.0,698.0,297.0,234.0,648.0
