г. Санкт-Петербург,14854.1,4.3,120.4,3839.9,564.8,55.3,590.4,7128.6,860.0,102.7,601.8,265.2,558.0,86.4,1.5,0.1,47.0,18.6,8.9
Южный федеральный округ,9241.3,384.0,349.3,2231.2,655.1,84.9,282.1,4324.1,625.6,35.6,22.8,72.5,90.4,23.4,0.8,0.0,43.0,14.8,1.6
Республика Адыгея,66.9,2.4,1.3,30.7,4.4,0.4,5.4,20.9,0.6,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0
Республика Калмыкия,14.0,0.8,0.0,0.9,4.7,0.3,0.3,0.3,5.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Крым,384.7,9.1,19.7,64.6,48.3,7.9,20.2,161.4,18.8,8.2,3.3,7.3,1.2,1.8,0.0,0.0,12.6,0.0,0.1
Краснодарский край,4824.8,235.1,34.9,645.2,270.0,27.1,178.9,2793.4,477.8,24.9,16.0,39.4,41.2,6.4,0.6,0.0,25.3,7.7,1.0
Астраханская область,357.1,4.2,253.1,11.2,39.0,3.4,18.2,15.6,8.6,0.7,0.0,1.2,0.5,0.8,0.0,0.0,0.6,0.0,0.0
Волгоградская область,1208.5,39.2,10.1,668.2,99.9,13.6,19.4,302.9,36.9,0.5,0.4,5.6,7.9,2.7,0.0,0.0,1.0,0.0,0.1
Ростовская область,2335.3,91.1,29.1,801.4,177.3,29.7,38.7,1014.9,75.6,1.0,1.8,16.1,37.1,10.6,0.0,0.0,3.5,7.1,0.3
г. Севастополь,49.9,2.2,0.0,8.8,11.4,2.5,1.0,14.7,1.9,0.2,1.1,2.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Северо-Кавказский федеральный округ,1248.6,121.2,17.3,325.9,317.6,18.8,57.2,292.6,63.1,3.6,4.9,5.1,4.6,5.6,0.0,0.4,9.8,0.6,0.4
Республика Дагестан,100.0,3.3,2.6,25.5,22.5,1.4,11.8,15.3,16.1,0.0,0.1,0.4,0.0,0.4,0.0,0.0,0.5,0.0,0.0
Республика Ингушетия,11.1,1.9,0.9,0.0,2.3,1.1,2.2,2.1,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Кабардино-Балкарская Республика,58.4,1.2,0.0,23.9,13.8,0.8,3.5,14.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0
Карачаево-Черкесская Республика,75.4,5.3,0.0,24.6,10.8,2.3,8.7,18.4,0.9,0.1,0.0,1.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Республика Северная Осетия – Алания,36.7,1.5,0.0,13.8,8.5,1.1,2.0,7.1,1.6,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.1
Чеченская Республика,90.2,2.0,4.1,8.9,19.4,2.2,12.0,30.6,5.5,0.7,1.7,0.7,1.0,0.2,0.0,0.2,0.6,0.0,0.0
Ставропольский край,876.8,106.0,7.1,229.2,240.2,9.9,17.1,205.0,38.5,2.4,3.0,2.2,3.5,4.2,0.0,0.0,8.2,0.0,0.2
федеральный округ,19228.2,489.6,2456.7,7501.6,1404.5,189.6,489.3,4604.3,1063.4,28.6,194.4,133.7,545.3,58.1,13.0,0.5,42.3,10.1,3.1
Республика Башкортостан,2789.3,46.6,153.1,1159.9,236.2,19.0,96.2,811.1,144.9,3.5,24.1,14.1,51.8,15.6,0.1,0.0,12.5,0.1,0.3
Республика Марий Эл,192.6,32.8,0.0,97.1,19.6,4.6,3.2,27.2,5.1,0.2,0.5,0.7,0.8,0.4,0.0,0.0,0.3,0.0,0.1
Республика Мордовия,333.2,55.1,0.0,200.4,21.9,8.0,8.8,26.2,7.1,0.3,0.3,0.3,2.9,1.6,0.0,0.0,0.2,0.0,0.0
Республика Татарстан,4289.9,84.0,953.7,1423.7,287.4,25.9,109.6,1030.0,179.6,7.7,71.2,21.0,66.6,15.9,0.0,0.2,4.4,8.4,0.2
Удмуртская Республика,656.4,32.6,200.5,267.3,32.2,5.7,13.1,75.4,12.6,0.7,1.2,3.2,9.0,1.7,0.0,0.0,0.8,0.1,0.2
Чувашская Республика,300.9,7.8,0.0,160.9,26.2,15.9,20.4,53.7,4.3,0.4,1.6,2.3,5.9,0.3,0.0,0.0,0.5,0.0,0.1
Пермский край,1890.6,22.0,278.9,929.4,92.7,16.9,55.5,305.9,74.4,3.0,57.1,6.1,35.5,3.6,0.0,0.2,6.4,0.2,0.2
Кировская область,308.5,27.1,2.2,150.1,36.6,6.7,6.7,60.4,7.4,0.7,0.2,1.5,5.6,0.3,0.0,0.0,2.8,0.0,0.2
Нижегородская область,3409.5,33.3,0.0,1268.1,269.6,26.9,60.4,1184.1,224.1,3.0,25.9,17.8,283.2,6.7,0.0,0.0,3.8,0.8,0.3
Оренбургская область,951.2,22.4,475.7,205.3,20.1,16.0,19.8,159.3,22.0,1.1,0.5,3.7,1.1,1.2,1.6,0.0,1.0,0.2,0.2
