федеральный округ,634503.0,17608.0,2834.0,53334.0,4109.0,4712.0,76080.0,163640.0,37542.0,13525.0
Республика Башкортостан,77126.0,2480.0,568.0,6007.0,378.0,536.0,11664.0,19485.0,3396.0,1672.0
Республика Марий Эл,11148.0,368.0,36.0,1381.0,124.0,108.0,1009.0,2663.0,505.0,329.0
Республика Мордовия,13160.0,489.0,23.0,759.0,89.0,75.0,1140.0,2337.0,464.0,190.0
Республика Татарстан,106423.0,1901.0,505.0,8926.0,414.0,642.0,15061.0,28265.0,5764.0,2094.0
Удмуртская Республика,33816.0,754.0,194.0,3239.0,228.0,189.0,3979.0,9220.0,1655.0,699.0
Чувашская Республика,20523.0,578.0,35.0,2075.0,156.0,115.0,2409.0,4808.0,972.0,575.0
Пермский край,57867.0,1402.0,258.0,4477.0,443.0,477.0,6954.0,14206.0,3651.0,1331.0
Кировская область,28564.0,1295.0,83.0,2826.0,328.0,216.0,2415.0,6646.0,2455.0,699.0
Нижегородская область,78321.0,1686.0,121.0,7136.0,556.0,522.0,8715.0,22859.0,4276.0,1720.0
Оренбургская область,30655.0,2274.0,343.0,1921.0,272.0,332.0,3123.0,6103.0,2075.0,492.0
Пензенская область,22264.0,793.0,54.0,2177.0,154.0,337.0,2103.0,4997.0,1323.0,437.0
Самарская область,89388.0,1548.0,325.0,6992.0,403.0,537.0,11465.0,27346.0,6564.0,1921.0
Саратовская область,41465.0,1358.0,225.0,3041.0,364.0,403.0,3693.0,9146.0,2900.0,861.0
Ульяновская область,23783.0,682.0,64.0,2377.0,200.0,223.0,2350.0,5559.0,1542.0,505.0
Уральский федеральный округ,285125.0,6042.0,1882.0,23373.0,1974.0,1931.0,33963.0,78580.0,19172.0,6295.0
Курганская область,12491.0,659.0,33.0,904.0,189.0,109.0,1092.0,2310.0,589.0,193.0
Свердловская область,119138.0,2152.0,514.0,10281.0,693.0,771.0,12923.0,35516.0,7625.0,2546.0
Тюменская область,77773.0,2010.0,938.0,4518.0,551.0,520.0,11680.0,17273.0,6324.0,2201.0
Ханты-Мансийский авто- номный округ – Югра,30919.0,932.0,502.0,1452.0,267.0,256.0,4324.0,6537.0,3101.0,867.0
Ямало-Ненецкий автономный округ,8728.0,176.0,162.0,309.0,107.0,74.0,1294.0,1398.0,990.0,271.0
Тюменская область без автономных округов,38126.0,902.0,274.0,2757.0,177.0,190.0,6062.0,9338.0,2233.0,1063.0
Челябинская область,75723.0,1221.0,397.0,7670.0,541.0,531.0,8268.0,23481.0,4634.0,1355.0
Сибирский федеральный округ,373969.0,11999.0,2055.0,28508.0,2780.0,2362.0,39804.0,100071.0,24966.0,7586.0
Республика Алтай,4907.0,381.0,47.0,315.0,58.0,34.0,436.0,849.0,164.0,178.0
Республика Тыва,3524.0,278.0,19.0,103.0,29.0,26.0,263.0,371.0,121.0,58.0
Республика Хакасия,7950.0,257.0,143.0,609.0,95.0,75.0,814.0,1582.0,308.0,164.0
Алтайский край,45678.0,1759.0,113.0,4308.0,376.0,347.0,4492.0,13519.0,3256.0,816.0
Красноярский край,61807.0,2082.0,495.0,4324.0,448.0,333.0,7040.0,16128.0,4080.0,1194.0
Иркутская область,53229.0,3352.0,484.0,3205.0,403.0,341.0,5526.0,12892.0,3694.0,1237.0
Кемеровская область,37392.0,827.0,428.0,2921.0,356.0,332.0,3432.0,8975.0,2255.0,869.0
Новосибирская область,96079.0,1593.0,155.0,7857.0,568.0,453.0,10475.0,29902.0,6641.0,1883.0
Омская область,37195.0,828.0,35.0,2737.0,244.0,255.0,4653.0,9392.0,2494.0,621.0
Томская область,26208.0,642.0,136.0,2129.0,203.0,166.0,2673.0,6461.0,1953.0,566.0
Дальневосточный федеральный округ,190399.0,9981.0,3684.0,9532.0,1672.0,1269.0,20464.0,43250.0,15887.0,4756.0
Республика Бурятия,20303.0,867.0,410.0,1064.0,245.0,98.0,2031.0,3580.0,898.0,564.0
Республика Саха (Якутия),22921.0,1493.0,713.0,993.0,261.0,170.0,3191.0,2785.0,1515.0,406.0
Забайкальский край,13153.0,744.0,475.0,579.0,169.0,80.0,1232.0,2369.0,806.0,278.0
Камчатский край,9518.0,904.0,58.0,472.0,73.0,79.0,995.0,1676.0,729.0,286.0
Приморский край,54006.0,2015.0,250.0,2774.0,162.0,315.0,5063.0,16007.0,6573.0,1417.0
Хабаровский край,34419.0,1473.0,367.0,1870.0,292.0,223.0,4068.0,9186.0,3057.0,946.0
Амурская область,14202.0,602.0,691.0,662.0,245.0,146.0,1537.0,3502.0,653.0,295.0
Магаданская область,4086.0,258.0,485.0,158.0,46.0,23.0,300.0,698.0,403.0,86.0
Сахалинская область,14213.0,1331.0,152.0,778.0,100.0,92.0,1797.0,2891.0,1051.0,401.0
Еврейская автономная область,2465.0,178.0,35.0,146.0,49.0,30.0,180.0,437.0,111.0,56.0
Чукотский автономный округ,1113.0,116.0,48.0,36.0,30.0,13.0,70.0,119.0,91.0,21.0
