108345.0,59314.0,309413.0,301537.0,138737.0,87404.0,126178.0,82681.0,74580.0,170673.0
49221.0,25589.0,105636.0,122634.0,52090.0,18324.0,30263.0,24742.0,24664.0,51344.0
721.0,392.0,1674.0,2041.0,960.0,964.0,1378.0,644.0,568.0,1656.0
427.0,135.0,1271.0,946.0,461.0,1036.0,1137.0,407.0,302.0,1004.0
626.0,466.0,4083.0,1754.0,816.0,830.0,1183.0,766.0,738.0,1499.0
1060.0,555.0,3291.0,3599.0,1558.0,1367.0,1854.0,894.0,1040.0,2277.0
494.0,288.0,2104.0,1634.0,857.0,619.0,934.0,440.0,470.0,1422.0
617.0,280.0,2844.0,1486.0,768.0,1071.0,896.0,493.0,486.0,1292.0
265.0,222.0,1239.0,776.0,371.0,635.0,795.0,356.0,498.0,791.0
461.0,239.0,1387.0,1166.0,630.0,1055.0,1144.0,685.0,921.0,1287.0
407.0,543.0,1133.0,1318.0,712.0,796.0,1032.0,471.0,534.0,1206.0
4957.0,2579.0,30028.0,13979.0,7571.0,1718.0,5579.0,4480.0,3951.0,8172.0
296.0,134.0,864.0,768.0,371.0,792.0,757.0,381.0,321.0,816.0
559.0,275.0,2207.0,1530.0,710.0,1052.0,991.0,571.0,426.0,1603.0
570.0,240.0,1214.0,1332.0,616.0,729.0,957.0,570.0,963.0,1119.0
349.0,152.0,1114.0,969.0,379.0,949.0,965.0,404.0,444.0,941.0
705.0,390.0,3317.0,1946.0,974.0,1227.0,1332.0,768.0,639.0,1594.0
715.0,358.0,2740.0,1950.0,961.0,628.0,1131.0,566.0,482.0,1427.0
837.0,402.0,3510.0,2255.0,1261.0,595.0,1229.0,640.0,731.0,1773.0
35155.0,17939.0,41616.0,83185.0,32114.0,2261.0,6969.0,11206.0,11150.0,21465.0
13901.0,6559.0,42683.0,37289.0,18988.0,7248.0,11000.0,9014.0,8949.0,18634.0
392.0,191.0,1975.0,1082.0,741.0,539.0,583.0,287.0,457.0,1436.0
403.0,200.0,1681.0,1042.0,474.0,805.0,889.0,474.0,402.0,1057.0
451.0,341.0,2304.0,1257.0,627.0,902.0,910.0,551.0,567.0,1432.0
30.0,20.0,41.0,46.0,18.0,92.0,61.0,27.0,35.0,130.0
421.0,321.0,2263.0,1211.0,609.0,810.0,849.0,524.0,532.0,1302.0
625.0,596.0,2991.0,2084.0,1208.0,919.0,1065.0,632.0,851.0,1355.0
857.0,448.0,3124.0,2618.0,1356.0,455.0,807.0,784.0,594.0,1679.0
607.0,274.0,6604.0,1865.0,1088.0,740.0,1090.0,740.0,813.0,1765.0
339.0,206.0,1493.0,995.0,610.0,516.0,698.0,324.0,383.0,960.0
270.0,212.0,1119.0,753.0,349.0,650.0,531.0,287.0,342.0,777.0
275.0,97.0,884.0,701.0,368.0,489.0,477.0,237.0,254.0,867.0
9682.0,3994.0,20508.0,24892.0,12167.0,1233.0,3950.0,4698.0,4286.0,7306.0
6708.0,4038.0,27232.0,22437.0,10461.0,9976.0,12721.0,8482.0,6490.0,16781.0
127.0,109.0,398.0,397.0,280.0,349.0,401.0,222.0,176.0,447.0
64.0,52.0,130.0,223.0,104.0,497.0,373.0,186.0,109.0,409.0
631.0,308.0,4718.0,2044.0,1008.0,1058.0,1372.0,1091.0,658.0,2879.0
2569.0,1501.0,8829.0,9317.0,4363.0,3061.0,4338.0,3410.0,2648.0,5134.0
298.0,220.0,1298.0,930.0,509.0,613.0,642.0,426.0,271.0,917.0
809.0,551.0,3135.0,2903.0,1553.0,1779.0,1901.0,984.0,1025.0,2537.0
1943.0,1161.0,6736.0,5771.0,2228.0,2489.0,3419.0,1814.0,1349.0,3589.0
267.0,136.0,1988.0,852.0,416.0,130.0,275.0,349.0,254.0,869.0
2326.0,1611.0,6023.0,6020.0,3057.0,5768.0,8752.0,4189.0,2979.0,7491.0
680.0,414.0,1076.0,1303.0,717.0,1999.0,3214.0,1110.0,1021.0,2284.0
110.0,87.0,89.0,204.0,161.0,232.0,345.0,194.0,162.0,267.0
188.0,154.0,552.0,524.0,256.0,481.0,526.0,394.0,287.0,885.0
106.0,85.0,282.0,318.0,182.0,389.0,479.0,200.0,102.0,658.0
218.0,164.0,601.0,497.0,287.0,459.0,601.0,402.0,264.0,712.0
205.0,188.0,235.0,421.0,210.0,614.0,1301.0,356.0,246.0,410.0
819.0,519.0,3188.0,2753.0,1244.0,1594.0,2286.0,1533.0,897.0,2275.0
